sales,dayofmonth,dayofweek,month,shift_sales+1,shift_sales+2,shift_sales+3,shift_sales+4,shift_sales+5,shift_sales+6,shift_sales+7,shift_sales+8,shift_sales+9,shift_sales+10,shift_sales+11,shift_sales+12,shift_sales+13,shift_sales+14,daily_store_sales1,daily_store_sales2,daily_store_sales3,daily_store_sales4,daily_store_sales5,daily_store_sales6,daily_store_sales7,daily_store_sales8,daily_store_sales9,daily_store_sales10,daily_store_sales11,daily_store_sales12,daily_store_sales13,daily_store_sales14,daily_store_sales15,daily_store_sales16,daily_store_sales17,daily_store_sales18,daily_store_sales19,daily_store_sales20,daily_store_sales21,daily_store_sales22,daily_store_sales23,daily_store_sales24,daily_store_sales25,daily_store_sales26,daily_store_sales27,daily_store_sales28,daily_store_sales29,daily_store_sales30,mean_store_sales1,mean_store_sales2,mean_store_sales3,mean_store_sales4,mean_store_sales5,mean_store_sales6,mean_store_sales7,mean_store_sales8,mean_store_sales9,mean_store_sales10,mean_store_sales11,mean_store_sales12,mean_store_sales13,mean_store_sales14,mean_store_sales15,mean_store_sales16,mean_store_sales17,mean_store_sales18,mean_store_sales19,mean_store_sales20,mean_store_sales21,mean_store_sales22,mean_store_sales23,mean_store_sales24,mean_store_sales25,mean_store_sales26,mean_store_sales27,mean_store_sales28,mean_store_sales29,mean_store_sales30,shift_day+1,shift_day+2,shift_day+3,shift_day+4,shift_day+5,shift_day+6,shift_day+7,shift_day+8,shift_day+9,shift_day+10,shift_day+11,shift_day+12,shift_day+13,shift_day+14,shift_day+15,shift_day+16,shift_day+17,shift_day+18,shift_day+19,shift_day+20,shift_day+21,shift_day+22,shift_day+23,shift_day+24,shift_day+25,shift_day+26,shift_day+27,shift_day+28,shift_day+29,shift_day+30
445,10,6,2,423.0,413.0,357.0,351.0,349.0,283.0,432.0,402.0,399.0,341.0,318.0,283.0,258.0,390.0,18425.0,17450.0,16112.0,15124.0,14956.0,12998.0,19544.0,18323.0,17473.0,14724.0,13391.0,13724.0,11848.0,17579.0,16561.0,15640.0,14472.0,13613.0,13724.0,11709.0,17612.0,16294.0,15495.0,14587.0,13591.0,13625.0,11746.0,17741.0,16679.0,15633.0,36.85,34.9,32.224,30.248,29.912,25.996,39.088,36.646,34.946,29.448,26.782,27.448,23.696,35.158,33.122,31.28,28.944,27.226,27.448,23.418,35.224,32.588,30.99,29.174,27.182,27.25,23.492,35.482,33.358,31.266,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0
309,11,0,2,445.0,423.0,413.0,357.0,351.0,349.0,283.0,432.0,402.0,399.0,341.0,318.0,283.0,258.0,19501.0,18425.0,17450.0,16112.0,15124.0,14956.0,12998.0,19544.0,18323.0,17473.0,14724.0,13391.0,13724.0,11848.0,17579.0,16561.0,15640.0,14472.0,13613.0,13724.0,11709.0,17612.0,16294.0,15495.0,14587.0,13591.0,13625.0,11746.0,17741.0,16679.0,39.002,36.85,34.9,32.224,30.248,29.912,25.996,39.088,36.646,34.946,29.448,26.782,27.448,23.696,35.158,33.122,31.28,28.944,27.226,27.448,23.418,35.224,32.588,30.99,29.174,27.182,27.25,23.492,35.482,33.358,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0
354,12,1,2,309.0,445.0,423.0,413.0,357.0,351.0,349.0,283.0,432.0,402.0,399.0,341.0,318.0,283.0,12961.0,19501.0,18425.0,17450.0,16112.0,15124.0,14956.0,12998.0,19544.0,18323.0,17473.0,14724.0,13391.0,13724.0,11848.0,17579.0,16561.0,15640.0,14472.0,13613.0,13724.0,11709.0,17612.0,16294.0,15495.0,14587.0,13591.0,13625.0,11746.0,17741.0,25.922,39.002,36.85,34.9,32.224,30.248,29.912,25.996,39.088,36.646,34.946,29.448,26.782,27.448,23.696,35.158,33.122,31.28,28.944,27.226,27.448,23.418,35.224,32.588,30.99,29.174,27.182,27.25,23.492,35.482,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0
316,13,2,2,354.0,309.0,445.0,423.0,413.0,357.0,351.0,349.0,283.0,432.0,402.0,399.0,341.0,318.0,15154.0,12961.0,19501.0,18425.0,17450.0,16112.0,15124.0,14956.0,12998.0,19544.0,18323.0,17473.0,14724.0,13391.0,13724.0,11848.0,17579.0,16561.0,15640.0,14472.0,13613.0,13724.0,11709.0,17612.0,16294.0,15495.0,14587.0,13591.0,13625.0,11746.0,30.308,25.922,39.002,36.85,34.9,32.224,30.248,29.912,25.996,39.088,36.646,34.946,29.448,26.782,27.448,23.696,35.158,33.122,31.28,28.944,27.226,27.448,23.418,35.224,32.588,30.99,29.174,27.182,27.25,23.492,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0
412,14,3,2,316.0,354.0,309.0,445.0,423.0,413.0,357.0,351.0,349.0,283.0,432.0,402.0,399.0,341.0,15274.0,15154.0,12961.0,19501.0,18425.0,17450.0,16112.0,15124.0,14956.0,12998.0,19544.0,18323.0,17473.0,14724.0,13391.0,13724.0,11848.0,17579.0,16561.0,15640.0,14472.0,13613.0,13724.0,11709.0,17612.0,16294.0,15495.0,14587.0,13591.0,13625.0,30.548,30.308,25.922,39.002,36.85,34.9,32.224,30.248,29.912,25.996,39.088,36.646,34.946,29.448,26.782,27.448,23.696,35.158,33.122,31.28,28.944,27.226,27.448,23.418,35.224,32.588,30.99,29.174,27.182,27.25,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0
388,15,4,2,412.0,316.0,354.0,309.0,445.0,423.0,413.0,357.0,351.0,349.0,283.0,432.0,402.0,399.0,16379.0,15274.0,15154.0,12961.0,19501.0,18425.0,17450.0,16112.0,15124.0,14956.0,12998.0,19544.0,18323.0,17473.0,14724.0,13391.0,13724.0,11848.0,17579.0,16561.0,15640.0,14472.0,13613.0,13724.0,11709.0,17612.0,16294.0,15495.0,14587.0,13591.0,32.758,30.548,30.308,25.922,39.002,36.85,34.9,32.224,30.248,29.912,25.996,39.088,36.646,34.946,29.448,26.782,27.448,23.696,35.158,33.122,31.28,28.944,27.226,27.448,23.418,35.224,32.588,30.99,29.174,27.182,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0
397,16,5,2,388.0,412.0,316.0,354.0,309.0,445.0,423.0,413.0,357.0,351.0,349.0,283.0,432.0,402.0,17563.0,16379.0,15274.0,15154.0,12961.0,19501.0,18425.0,17450.0,16112.0,15124.0,14956.0,12998.0,19544.0,18323.0,17473.0,14724.0,13391.0,13724.0,11848.0,17579.0,16561.0,15640.0,14472.0,13613.0,13724.0,11709.0,17612.0,16294.0,15495.0,14587.0,35.126,32.758,30.548,30.308,25.922,39.002,36.85,34.9,32.224,30.248,29.912,25.996,39.088,36.646,34.946,29.448,26.782,27.448,23.696,35.158,33.122,31.28,28.944,27.226,27.448,23.418,35.224,32.588,30.99,29.174,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0
437,17,6,2,397.0,388.0,412.0,316.0,354.0,309.0,445.0,423.0,413.0,357.0,351.0,349.0,283.0,432.0,18428.0,17563.0,16379.0,15274.0,15154.0,12961.0,19501.0,18425.0,17450.0,16112.0,15124.0,14956.0,12998.0,19544.0,18323.0,17473.0,14724.0,13391.0,13724.0,11848.0,17579.0,16561.0,15640.0,14472.0,13613.0,13724.0,11709.0,17612.0,16294.0,15495.0,36.856,35.126,32.758,30.548,30.308,25.922,39.002,36.85,34.9,32.224,30.248,29.912,25.996,39.088,36.646,34.946,29.448,26.782,27.448,23.696,35.158,33.122,31.28,28.944,27.226,27.448,23.418,35.224,32.588,30.99,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0
302,18,0,2,437.0,397.0,388.0,412.0,316.0,354.0,309.0,445.0,423.0,413.0,357.0,351.0,349.0,283.0,19502.0,18428.0,17563.0,16379.0,15274.0,15154.0,12961.0,19501.0,18425.0,17450.0,16112.0,15124.0,14956.0,12998.0,19544.0,18323.0,17473.0,14724.0,13391.0,13724.0,11848.0,17579.0,16561.0,15640.0,14472.0,13613.0,13724.0,11709.0,17612.0,16294.0,39.004,36.856,35.126,32.758,30.548,30.308,25.922,39.002,36.85,34.9,32.224,30.248,29.912,25.996,39.088,36.646,34.946,29.448,26.782,27.448,23.696,35.158,33.122,31.28,28.944,27.226,27.448,23.418,35.224,32.588,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0
328,19,1,2,302.0,437.0,397.0,388.0,412.0,316.0,354.0,309.0,445.0,423.0,413.0,357.0,351.0,349.0,12858.0,19502.0,18428.0,17563.0,16379.0,15274.0,15154.0,12961.0,19501.0,18425.0,17450.0,16112.0,15124.0,14956.0,12998.0,19544.0,18323.0,17473.0,14724.0,13391.0,13724.0,11848.0,17579.0,16561.0,15640.0,14472.0,13613.0,13724.0,11709.0,17612.0,25.716,39.004,36.856,35.126,32.758,30.548,30.308,25.922,39.002,36.85,34.9,32.224,30.248,29.912,25.996,39.088,36.646,34.946,29.448,26.782,27.448,23.696,35.158,33.122,31.28,28.944,27.226,27.448,23.418,35.224,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0
349,20,2,2,328.0,302.0,437.0,397.0,388.0,412.0,316.0,354.0,309.0,445.0,423.0,413.0,357.0,351.0,15359.0,12858.0,19502.0,18428.0,17563.0,16379.0,15274.0,15154.0,12961.0,19501.0,18425.0,17450.0,16112.0,15124.0,14956.0,12998.0,19544.0,18323.0,17473.0,14724.0,13391.0,13724.0,11848.0,17579.0,16561.0,15640.0,14472.0,13613.0,13724.0,11709.0,30.718,25.716,39.004,36.856,35.126,32.758,30.548,30.308,25.922,39.002,36.85,34.9,32.224,30.248,29.912,25.996,39.088,36.646,34.946,29.448,26.782,27.448,23.696,35.158,33.122,31.28,28.944,27.226,27.448,23.418,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0
357,21,3,2,349.0,328.0,302.0,437.0,397.0,388.0,412.0,316.0,354.0,309.0,445.0,423.0,413.0,357.0,14909.0,15359.0,12858.0,19502.0,18428.0,17563.0,16379.0,15274.0,15154.0,12961.0,19501.0,18425.0,17450.0,16112.0,15124.0,14956.0,12998.0,19544.0,18323.0,17473.0,14724.0,13391.0,13724.0,11848.0,17579.0,16561.0,15640.0,14472.0,13613.0,13724.0,29.818,30.718,25.716,39.004,36.856,35.126,32.758,30.548,30.308,25.922,39.002,36.85,34.9,32.224,30.248,29.912,25.996,39.088,36.646,34.946,29.448,26.782,27.448,23.696,35.158,33.122,31.28,28.944,27.226,27.448,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0
409,22,4,2,357.0,349.0,328.0,302.0,437.0,397.0,388.0,412.0,316.0,354.0,309.0,445.0,423.0,413.0,16329.0,14909.0,15359.0,12858.0,19502.0,18428.0,17563.0,16379.0,15274.0,15154.0,12961.0,19501.0,18425.0,17450.0,16112.0,15124.0,14956.0,12998.0,19544.0,18323.0,17473.0,14724.0,13391.0,13724.0,11848.0,17579.0,16561.0,15640.0,14472.0,13613.0,32.658,29.818,30.718,25.716,39.004,36.856,35.126,32.758,30.548,30.308,25.922,39.002,36.85,34.9,32.224,30.248,29.912,25.996,39.088,36.646,34.946,29.448,26.782,27.448,23.696,35.158,33.122,31.28,28.944,27.226,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0
425,23,5,2,409.0,357.0,349.0,328.0,302.0,437.0,397.0,388.0,412.0,316.0,354.0,309.0,445.0,423.0,17393.0,16329.0,14909.0,15359.0,12858.0,19502.0,18428.0,17563.0,16379.0,15274.0,15154.0,12961.0,19501.0,18425.0,17450.0,16112.0,15124.0,14956.0,12998.0,19544.0,18323.0,17473.0,14724.0,13391.0,13724.0,11848.0,17579.0,16561.0,15640.0,14472.0,34.786,32.658,29.818,30.718,25.716,39.004,36.856,35.126,32.758,30.548,30.308,25.922,39.002,36.85,34.9,32.224,30.248,29.912,25.996,39.088,36.646,34.946,29.448,26.782,27.448,23.696,35.158,33.122,31.28,28.944,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0
445,24,6,2,425.0,409.0,357.0,349.0,328.0,302.0,437.0,397.0,388.0,412.0,316.0,354.0,309.0,445.0,18436.0,17393.0,16329.0,14909.0,15359.0,12858.0,19502.0,18428.0,17563.0,16379.0,15274.0,15154.0,12961.0,19501.0,18425.0,17450.0,16112.0,15124.0,14956.0,12998.0,19544.0,18323.0,17473.0,14724.0,13391.0,13724.0,11848.0,17579.0,16561.0,15640.0,36.872,34.786,32.658,29.818,30.718,25.716,39.004,36.856,35.126,32.758,30.548,30.308,25.922,39.002,36.85,34.9,32.224,30.248,29.912,25.996,39.088,36.646,34.946,29.448,26.782,27.448,23.696,35.158,33.122,31.28,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0
308,25,0,2,445.0,425.0,409.0,357.0,349.0,328.0,302.0,437.0,397.0,388.0,412.0,316.0,354.0,309.0,19482.0,18436.0,17393.0,16329.0,14909.0,15359.0,12858.0,19502.0,18428.0,17563.0,16379.0,15274.0,15154.0,12961.0,19501.0,18425.0,17450.0,16112.0,15124.0,14956.0,12998.0,19544.0,18323.0,17473.0,14724.0,13391.0,13724.0,11848.0,17579.0,16561.0,38.964,36.872,34.786,32.658,29.818,30.718,25.716,39.004,36.856,35.126,32.758,30.548,30.308,25.922,39.002,36.85,34.9,32.224,30.248,29.912,25.996,39.088,36.646,34.946,29.448,26.782,27.448,23.696,35.158,33.122,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,6.0,5.0
